"Producer Price Index item","Attribute","Unit","Value"
"Wholesale beef","Mid point of prediction interval 2025","Percent change",2.6
"Wholesale beef","Upper bound of prediction interval 2025","Percent change",17.6
"Wholesale pork","Month-to-month February 2025 to March 2025","Percent change",0.9
"Wholesale pork","Year-over-year March 2024 to March 2025","Percent change",10.1
"Wholesale pork","Year-to-date avg. 2025 to avg. 2024","Percent change",3
"Wholesale pork","Annual 2022","Percent change",-2.2
"Wholesale pork","Annual 2023","Percent change",-3.7
"Wholesale pork","Annual 2024","Percent change",11.8
"Wholesale pork","20-year historical average","Percent change",2.1
"Wholesale pork","Lower bound of prediction interval 2025","Percent change",-7
"Wholesale pork","Mid point of prediction interval 2025","Percent change",5.2
"Wholesale pork","Upper bound of prediction interval 2025","Percent change",20.4
"Wholesale poultry","Month-to-month February 2025 to March 2025","Percent change",1.9
"Wholesale poultry","Year-over-year March 2024 to March 2025","Percent change",-0.1
"Wholesale poultry","Year-to-date avg. 2025 to avg. 2024","Percent change",-2.4
"Wholesale poultry","Annual 2022","Percent change",17.3
"Wholesale poultry","Annual 2023","Percent change",-18
"Wholesale poultry","Annual 2024","Percent change",0
"Wholesale poultry","20-year historical average","Percent change",1.9
"Wholesale poultry","Lower bound of prediction interval 2025","Percent change",-9.5
"Wholesale poultry","Mid point of prediction interval 2025","Percent change",-1.3
"Wholesale poultry","Upper bound of prediction interval 2025","Percent change",8.1
"Farm-level eggs","Month-to-month February 2025 to March 2025","Percent change",-27.6
"Farm-level eggs","Year-over-year March 2024 to March 2025","Percent change",167
"Farm-level eggs","Year-to-date avg. 2025 to avg. 2024","Percent change",135.6
"Farm-level eggs","Annual 2022","Percent change",163.1
"Farm-level eggs","Annual 2023","Percent change",-28.3
"Farm-level eggs","Annual 2024","Percent change",43.1
"Farm-level eggs","20-year historical average","Percent change",14.2
"Farm-level eggs","Lower bound of prediction interval 2025","Percent change",44.7
"Farm-level eggs","Mid point of prediction interval 2025","Percent change",132.9
"Farm-level eggs","Upper bound of prediction interval 2025","Percent change",337.9
